Tube,Population.y,Pollen_Type.y,AB_Donor,grains_stigma,Prop_grain_penetrate,Prop_stig_chi
756,AR,6,A,45,0,0
752,AR,6,B,87,0,0
751,AR,6,B,193,0,0
629,AR,3,A,3,0,0
638,AR,6,A,6,0,0
726,AR,6,B,6,0,0
724,AR,6,B,63,0,0
713,AR,3,B,1,0,0
717,BC,6,B,48,0,0
710,BC,3,B,8,0,0
358,DC,6,A,178,0,0
730,MC,6,B,1,0,0
653,WD,6,A,53,0,0
659,WD,6,A,38,0,0
356,DC,6,A,3,0,0
359,DC,6,A,268,0,0
350,DC,6,A,364,0,0
21,EC,6,B,13,0,0
51,ER,6,B,311,0,0
65,ER,6,A,279,0,0
45,ER,6,B,525,0,0
379,GP,6,A,430,0,0
92,GP,6,B,43,0,0
408,GP,6,A,436,0,0
413,GP,6,A,2,0,0
365,GP,6,A,122,0,0
380,GP,6,A,386,0,0
384,MC,3,A,4,0,0
160,EC,3,A,99,0,0
160,EC,3,A,99,0,0
508,ER,3,B,263,0,0
627,AR,6,A,18,0,0
628,AR,6,A,1,0,0
627,AR,6,A,18,0,0
628,AR,6,A,1,0,0
630,AR,3,A,3,0,0
698,AR,6,B,66,0,0
705,AR,3,B,116,0,0
705,AR,3,B,116,0,0
697,AR,3,B,22,0,0
697,AR,3,B,22,0,0
626,AR,6,A,1,0,0
626,AR,6,A,1,0,0
711,AR,3,B,53,0,0
712,AR,3,B,137,0,0
711,AR,3,B,53,0,0
712,AR,3,B,137,0,0
632,AR,6,A,1,0,0
632,AR,6,A,1,0,0
632,AR,6,A,1,0,0
761,AR,3,A,94,0,0
761,AR,3,A,94,0,0
694,AR,6,B,4,0,0
745,AR,6,A,8,0,0
745,AR,6,A,8,0,0
742,AR,3,A,3,0,0
742,AR,3,A,3,0,0
690,AR,6,A,27,0,0
690,AR,6,A,27,0,0
699,AR,6,B,429,0,0
774,BC,6,A,235,0,0
774,BC,6,A,235,0,0
715,BC,3,B,6,0,0
715,BC,3,B,6,0,0
784,DC,6,A,35,0,0
784,DC,6,A,35,0,0
616,DC,6,A,4,0,0
616,DC,6,A,4,0,0
789,DC,3,B,102,0,0
561,EC,3,A,1,0,0
561,EC,3,A,1,0,0
558,EC,6,A,71,0,0
558,EC,6,A,71,0,0
552,EC,6,A,40,0,0
552,EC,6,A,40,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
422,ER,6,A,309,0,0
422,ER,6,A,309,0,0
422,ER,6,A,309,0,0
492,ER,3,A,1,0,0
439,ER,6,A,131,0,0
439,ER,6,A,131,0,0
437,ER,3,A,24,0,0
437,ER,3,A,24,0,0
513,ER,3,B,204,0,0
513,ER,3,B,204,0,0
412,ER,6,A,514,0,0
412,ER,6,A,514,0,0
419,ER,3,A,134,0,0
419,ER,3,A,134,0,0
121,ER,6,B,88,0,0
121,ER,6,B,88,0,0
242,ER,3,A,28,0,0
242,ER,3,A,28,0,0
429,ER,6,A,173,0,0
429,ER,6,A,173,0,0
429,ER,6,A,173,0,0
406,GP,3,A,20,0,0
494,GP,3,B,4,0,0
494,GP,3,B,4,0,0
504,GP,6,B,136,0,0
504,GP,6,B,136,0,0
654,WD,3,A,52,0,0
723,EC,3,A,70,0,0
722,EC,3,A,95,0,0
415,GP,6,A,60,0,0
556,EC,6,A,325,0.003076923,1
556,EC,6,A,325,0.003076923,1
556,EC,6,A,325,0.003076923,1
556,EC,6,A,325,0.003076923,1
398,AR,6,A,502,0.003984064,1
692,AR,3,B,222,0.004504505,1
692,AR,3,B,222,0.004504505,1
666,WD,6,B,871,0.004592423,1
666,WD,6,B,871,0.004592423,1
449,EC,6,B,323,0.00619195,1
84,ER,6,B,729,0.006858711,1
84,ER,6,B,729,0.006858711,1
133,GP,6,B,410,0.007317073,1
54,ER,6,B,384,0.0078125,1
716,BC,3,B,125,0.008,1
716,BC,3,B,125,0.008,1
62,EC,6,B,371,0.008086253,1
62,EC,6,B,371,0.008086253,1
685,BC,6,A,367,0.008174387,1
5,EC,6,B,337,0.008902077,1
118,ER,6,B,668,0.008982036,1
720,BC,6,B,102,0.009803922,1
680,BC,6,A,500,0.01,1
451,EC,6,B,388,0.010309278,1
451,EC,6,B,388,0.010309278,1
750,AR,6,A,85,0.011764706,1
750,AR,6,A,85,0.011764706,1
99,GP,3,B,254,0.011811024,1
99,GP,3,B,254,0.011811024,1
704,AR,6,B,160,0.0125,1
557,EC,6,A,73,0.01369863,1
557,EC,6,A,73,0.01369863,1
138,ER,6,B,578,0.01384083,1
126,ER,3,B,405,0.014814815,1
516,ER,6,B,782,0.015345269,1
746,AR,6,B,129,0.015503876,1
746,AR,6,B,129,0.015503876,1
61,ER,6,A,254,0.015748031,1
103,ER,3,A,796,0.016331658,1
103,ER,3,A,796,0.016331658,1
94,ER,6,A,424,0.016509434,1
446,EC,6,B,591,0.016920474,1
446,EC,6,B,591,0.016920474,1
395,DC,6,A,470,0.017021277,1
110,ER,6,B,699,0.017167382,1
110,ER,6,B,699,0.017167382,1
670,WD,6,B,224,0.017857143,1
664,WD,3,B,503,0.017892644,1
464,DC,3,B,389,0.017994859,1
464,DC,3,B,389,0.017994859,1
708,AR,6,B,369,0.01897019,1
341,MC,6,B,784,0.019132653,1
707,AR,6,B,259,0.019305019,1
351,DC,6,A,309,0.019417476,1
351,DC,6,A,309,0.019417476,1
681,BC,6,A,303,0.01980198,1
114,ER,6,B,344,0.020348837,1
114,ER,6,B,344,0.020348837,1
684,BC,6,A,196,0.020408163,1
511,GP,6,B,991,0.021190716,1
511,GP,6,B,991,0.021190716,1
113,ER,6,B,697,0.021520803,1
113,ER,6,B,697,0.021520803,1
56,EC,3,B,185,0.021621622,1
56,EC,3,B,185,0.021621622,1
134,EC,6,B,388,0.023195876,1
57,EC,3,B,170,0.023529412,1
57,EC,3,B,170,0.023529412,1
39,ER,6,B,629,0.023847377,1
360,DC,6,A,407,0.024570025,1
50,ER,6,B,319,0.02507837,1
367,GP,6,A,341,0.026392962,1
656,WD,6,A,377,0.026525199,1
621,DC,6,A,300,0.026666667,1
621,DC,6,A,300,0.026666667,1
621,DC,6,A,300,0.026666667,1
100,ER,6,B,149,0.026845638,1
330,MC,6,B,733,0.02728513,1
620,DC,6,A,509,0.027504912,1
620,DC,6,A,509,0.027504912,1
620,DC,6,A,509,0.027504912,1
671,WD,6,B,286,0.027972028,1
111,ER,3,B,310,0.029032258,1
111,ER,3,B,310,0.029032258,1
75,ER,6,A,378,0.029100529,1
75,ER,6,A,378,0.029100529,1
390,MC,6,A,375,0.029333333,1
390,MC,6,A,375,0.029333333,1
777,BC,6,B,170,0.029411765,1
777,BC,6,B,170,0.029411765,1
495,GP,3,B,199,0.030150754,1
495,GP,3,B,199,0.030150754,1
479,ER,6,A,557,0.030520646,1
334,MC,6,B,587,0.030664395,1
334,MC,6,B,587,0.030664395,1
334,MC,6,B,587,0.030664395,1
500,ER,6,A,846,0.031914894,1
500,ER,6,A,846,0.031914894,1
145,GP,6,B,595,0.031932773,1
725,AR,6,B,217,0.032258065,1
8,EC,6,B,456,0.032894737,1
339,MC,6,B,423,0.033096927,1
41,ER,3,B,241,0.033195021,1
150,EC,6,B,60,0.033333333,1
335,MC,6,B,417,0.033573141,1
335,MC,6,B,417,0.033573141,1
335,MC,6,B,417,0.033573141,1
14,EC,3,B,265,0.033962264,1
336,MC,6,B,411,0.03406326,1
336,MC,6,B,411,0.03406326,1
336,MC,6,B,411,0.03406326,1
117,ER,3,B,234,0.034188034,1
615,AR,6,B,231,0.034632035,1
515,ER,3,B,346,0.034682081,1
515,ER,3,B,346,0.034682081,1
368,GP,6,A,86,0.034883721,1
79,ER,3,A,197,0.035532995,1
471,DC,6,B,138,0.036231884,1
471,DC,6,B,138,0.036231884,1
89,ER,6,A,386,0.03626943,1
63,ER,6,A,248,0.036290323,1
377,MC,3,A,519,0.036608863,1
377,MC,3,A,519,0.036608863,1
363,GP,3,A,211,0.037914692,1
396,DC,6,A,312,0.038461538,1
475,DC,6,B,414,0.038647343,1
475,DC,6,B,414,0.038647343,1
372,MC,6,A,749,0.040053405,1
372,MC,6,A,749,0.040053405,1
91,GP,3,B,98,0.040816327,1
91,GP,3,B,98,0.040816327,1
490,GP,6,B,1107,0.041553749,1
490,GP,6,B,1107,0.041553749,1
343,MC,6,B,237,0.042194093,1
343,MC,6,B,237,0.042194093,1
421,ER,6,A,538,0.042750929,1
421,ER,6,A,538,0.042750929,1
421,ER,6,A,538,0.042750929,1
400,DC,3,A,256,0.04296875,1
124,ER,6,B,395,0.043037975,1
326,MC,6,B,554,0.0433213,1
326,MC,6,B,554,0.0433213,1
326,MC,6,B,554,0.0433213,1
678,BC,6,A,415,0.043373494,1
658,WD,6,A,183,0.043715847,1
136,ER,6,B,542,0.044280443,1
329,MC,3,B,360,0.044444444,1
140,EC,6,B,90,0.044444444,1
140,EC,6,B,90,0.044444444,1
386,MC,6,A,982,0.044806517,1
386,MC,6,A,982,0.044806517,1
382,MC,6,A,532,0.045112782,1
382,MC,6,A,532,0.045112782,1
661,WD,6,A,480,0.045833333,1
337,MC,3,B,196,0.045918367,1
337,MC,3,B,196,0.045918367,1
440,ER,6,A,215,0.046511628,1
440,ER,6,A,215,0.046511628,1
470,DC,6,B,364,0.046703297,1
470,DC,6,B,364,0.046703297,1
147,GP,3,B,190,0.047368421,1
147,GP,3,B,190,0.047368421,1
331,MC,6,B,463,0.047516199,1
709,BC,6,B,389,0.048843188,1
119,ER,6,B,244,0.049180328,1
119,ER,6,B,244,0.049180328,1
663,WD,6,B,119,0.050420168,1
790,DC,3,B,98,0.051020408,1
371,GP,3,A,293,0.051194539,1
590,GP,6,A,896,0.051339286,1
46,ER,3,B,253,0.051383399,1
71,ER,6,B,305,0.052459016,1
687,AR,3,A,38,0.052631579,1
106,ER,3,B,131,0.053435115,1
106,ER,3,B,131,0.053435115,1
112,ER,3,B,184,0.054347826,1
112,ER,3,B,184,0.054347826,1
98,EC,6,A,73,0.054794521,1
585,GP,6,A,362,0.055248619,1
585,GP,6,A,362,0.055248619,1
669,WD,6,B,485,0.055670103,1
431,ER,6,A,243,0.057613169,1
431,ER,6,A,243,0.057613169,1
80,EC,6,B,222,0.058558559,1
80,EC,6,B,222,0.058558559,1
80,EC,6,B,222,0.058558559,1
701,AR,3,B,51,0.058823529,1
701,AR,3,B,51,0.058823529,1
95,ER,6,A,270,0.059259259,1
95,ER,6,A,270,0.059259259,1
721,BC,6,B,134,0.059701493,1
582,GP,3,A,485,0.059793814,1
582,GP,3,A,485,0.059793814,1
105,ER,6,B,261,0.061302682,1
105,ER,6,B,261,0.061302682,1
498,GP,6,B,825,0.063030303,1
498,GP,6,B,825,0.063030303,1
580,ER,3,B,267,0.063670412,1
580,ER,3,B,267,0.063670412,1
52,ER,3,B,245,0.065306122,1
354,DC,6,A,244,0.06557377,1
354,DC,6,A,244,0.06557377,1
521,ER,6,B,579,0.065630397,1
651,BC,3,B,197,0.065989848,1
702,AR,6,B,151,0.066225166,1
459,EC,3,B,254,0.066929134,1
123,ER,3,A,594,0.067340067,1
59,ER,6,A,518,0.067567568,1
418,ER,3,A,325,0.067692308,1
418,ER,3,A,325,0.067692308,1
68,ER,6,B,192,0.067708333,1
352B,DC,6,A,236,0.06779661,1
352B,DC,6,A,236,0.06779661,1
719,BC,6,B,397,0.068010076,1
428,ER,6,A,146,0.068493151,1
428,ER,6,A,146,0.068493151,1
428,ER,6,A,146,0.068493151,1
430,ER,6,A,496,0.068548387,1
430,ER,6,A,496,0.068548387,1
430,ER,6,A,496,0.068548387,1
598,MC,6,A,744,0.068548387,1
598,MC,6,A,744,0.068548387,1
598,MC,6,A,744,0.068548387,1
765,EC,6,A,58,0.068965517,1
765,EC,6,A,58,0.068965517,1
73,ER,3,A,287,0.069686411,1
673,WD,6,B,270,0.07037037,1
673,WD,6,B,270,0.07037037,1
501,ER,6,A,764,0.070680628,1
501,ER,6,A,764,0.070680628,1
579,ER,3,B,396,0.070707071,1
579,ER,3,B,396,0.070707071,1
662,WD,6,A,295,0.071186441,1
340,MC,6,B,435,0.071264368,1
100,ER,6,B,294,0.071428571,1
40,ER,3,B,292,0.071917808,1
387,MC,6,A,82,0.073170732,1
387,MC,6,A,82,0.073170732,1
562,EC,6,A,407,0.073710074,1
455,EC,6,B,365,0.073972603,1
455,EC,6,B,365,0.073972603,1
378,MC,3,A,428,0.074766355,1
378,MC,3,A,428,0.074766355,1
109,ER,6,B,226,0.075221239,1
109,ER,6,B,226,0.075221239,1
788,DC,6,B,310,0.077419355,1
788,DC,6,B,310,0.077419355,1
88,EC,6,B,424,0.077830189,1
88,EC,6,B,424,0.077830189,1
88,EC,6,B,424,0.077830189,1
143,ER,6,A,176,0.079545455,1
143,ER,6,A,176,0.079545455,1
146,GP,3,B,176,0.079545455,1
146,GP,3,B,176,0.079545455,1
660,WD,3,A,326,0.079754601,1
383,MC,6,A,510,0.080392157,1
383,MC,6,A,510,0.080392157,1
423,ER,6,A,272,0.080882353,1
423,ER,6,A,272,0.080882353,1
423,ER,6,A,272,0.080882353,1
33,ER,3,A,284,0.080985915,1
37,ER,3,B,259,0.081081081,1
15,EC,6,B,305,0.081967213,1
142,ER,6,A,389,0.082262211,1
142,ER,6,A,389,0.082262211,1
593,MC,6,B,783,0.084291188,1
593,MC,6,B,783,0.084291188,1
593,MC,6,B,783,0.084291188,1
76,ER,6,B,235,0.085106383,1
633,AR,6,A,303,0.085808581,1
633,AR,6,A,303,0.085808581,1
633,AR,6,A,303,0.085808581,1
668,WD,3,B,440,0.086363636,1
700,AR,3,B,81,0.086419753,1
700,AR,3,B,81,0.086419753,1
332,MC,3,B,277,0.086642599,1
332,MC,3,B,277,0.086642599,1
570,EC,6,A,449,0.086859688,1
570,EC,6,A,449,0.086859688,1
647,BC,6,B,161,0.086956522,1
647,BC,6,B,161,0.086956522,1
637,AR,6,A,239,0.087866109,1
575,ER,3,B,361,0.088642659,1
575,ER,3,B,361,0.088642659,1
82,ER,3,B,169,0.088757396,1
782,BC,6,B,357,0.089635854,1
782,BC,6,B,357,0.089635854,1
589,GP,3,A,223,0.089686099,1
589,GP,3,A,223,0.089686099,1
589,GP,3,A,223,0.089686099,1
714,BC,6,B,89,0.08988764,1
3,EC,3,B,187,0.090909091,1
116,ER,6,B,154,0.090909091,1
116,ER,6,B,154,0.090909091,1
153,ER,3,A,305,0.091803279,1
42,ER,3,B,162,0.092592593,1
149,ER,3,A,97,0.092783505,1
125,ER,6,B,150,0.093333333,1
130,GP,6,B,256,0.09375,1
158,ER,3,A,231,0.095238095,1
432,ER,3,B,436,0.096330275,1
432,ER,3,B,436,0.096330275,1
352A,DC,3,A,166,0.096385542,1
352A,DC,3,A,166,0.096385542,1
342,MC,6,B,203,0.098522167,1
342,MC,6,B,203,0.098522167,1
462,ER,6,A,363,0.099173554,1
773,BC,6,A,432,0.099537037,1
773,BC,6,A,432,0.099537037,1
706,AR,3,B,50,0.1,1
706,AR,3,B,50,0.1,1
472,DC,6,B,407,0.100737101,1
472,DC,6,B,407,0.100737101,1
29,EC,3,B,395,0.101265823,1
139,EC,6,B,265,0.101886792,1
139,EC,6,B,265,0.101886792,1
102,ER,6,B,78,0.102564103,1
102,ER,6,B,78,0.102564103,1
97,EC,3,A,58,0.103448276,1
677,BC,3,A,48,0.104166667,1
13,EC,3,B,277,0.104693141,1
2,EC,3,B,228,0.105263158,1
648,BC,3,B,399,0.107769424,1
445,ER,6,A,371,0.107816712,1
445,ER,6,A,371,0.107816712,1
10,EC,3,B,193,0.10880829,1
553,EC,6,A,201,0.109452736,1
553,EC,6,A,201,0.109452736,1
108,ER,3,A,155,0.109677419,1
108,ER,3,A,155,0.109677419,1
131,GP,3,B,36,0.111111111,1
461,ER,6,A,278,0.111510791,1
241,ER,3,A,98,0.112244898,1
101,ER,6,B,247,0.113360324,1
101,ER,6,B,247,0.113360324,1
510,ER,3,A,130,0.115384615,1
505,GP,3,B,204,0.117647059,1
505,GP,3,B,204,0.117647059,1
55,EC,3,B,144,0.118055556,1
55,EC,3,B,144,0.118055556,1
792,BC,6,A,274,0.120437956,1
792,BC,6,A,274,0.120437956,1
718,BC,6,B,132,0.121212121,1
243,ER,3,A,33,0.121212121,1
243,ER,3,A,33,0.121212121,1
546,EC,3,A,213,0.122065728,1
546,EC,3,A,213,0.122065728,1
729,MC,6,B,301,0.122923588,1
22,EC,3,B,195,0.123076923,1
780,BC,6,A,235,0.123404255,1
780,BC,6,A,235,0.123404255,1
642,AR,6,B,178,0.123595506,1
144,GP,6,B,193,0.124352332,1
676,BC,6,A,120,0.125,1
644,GP,6,B,24,0.125,1
644,GP,6,B,24,0.125,1
333,MC,3,B,342,0.125730994,1
333,MC,3,B,342,0.125730994,1
655,WD,6,A,570,0.126315789,1
93,EC,3,A,102,0.12745098,1
348,MC,3,B,234,0.128205128,1
107,ER,3,B,218,0.128440367,1
107,ER,3,B,218,0.128440367,1
507,GP,3,B,645,0.128682171,1
507,GP,3,B,645,0.128682171,1
74,ER,6,B,154,0.12987013,1
781,BC,3,A,161,0.130434783,1
623,DC,6,A,69,0.130434783,1
623,DC,6,A,69,0.130434783,1
32,ER,3,B,190,0.131578947,1
640,AR,3,A,121,0.132231405,1
572,ER,6,B,662,0.132930514,1
572,ER,6,B,662,0.132930514,1
246,EC,3,B,339,0.135693215,1
631,GP,6,B,162,0.135802469,1
631,GP,6,B,162,0.135802469,1
537,EC,3,A,81,0.135802469,1
537,EC,3,A,81,0.135802469,1
645,BC,6,B,316,0.136075949,1
641,AR,3,A,138,0.137681159,1
641,AR,3,A,138,0.137681159,1
538,EC,3,A,87,0.137931034,1
538,EC,3,A,87,0.137931034,1
4,EC,6,B,260,0.138461538,1
493,ER,6,A,526,0.13878327,1
491,ER,6,A,763,0.138925295,1
491,ER,6,A,763,0.138925295,1
452,EC,6,B,85,0.141176471,1
452,EC,6,B,85,0.141176471,1
518,AR,6,B,133,0.142857143,1
20,EC,3,B,175,0.142857143,1
369,GP,6,A,7,0.142857143,1
749,AR,6,A,7,0.142857143,1
749,AR,6,A,7,0.142857143,1
424,ER,6,A,360,0.144444444,1
424,ER,6,A,360,0.144444444,1
424,ER,6,A,360,0.144444444,1
578,ER,3,B,286,0.146853147,1
578,ER,3,B,286,0.146853147,1
474,DC,6,B,263,0.148288973,1
474,DC,6,B,263,0.148288973,1
646,BC,6,B,437,0.148741419,1
646,BC,6,B,437,0.148741419,1
17,EC,3,B,255,0.149019608,1
531,AR,6,B,60,0.15,1
531,AR,6,B,60,0.15,1
77,ER,3,A,271,0.151291513,1
72,ER,3,A,210,0.152380952,1
411,ER,6,A,380,0.152631579,1
411,ER,6,A,380,0.152631579,1
127,ER,3,B,166,0.156626506,1
36,ER,3,B,220,0.159090909,1
53,ER,3,B,232,0.159482759,1
776,BC,6,A,242,0.165289256,1
776,BC,6,A,242,0.165289256,1
571,ER,3,B,356,0.165730337,1
571,ER,3,B,356,0.165730337,1
31,ER,3,B,199,0.165829146,1
563,EC,6,A,403,0.166253102,1
563,EC,6,A,403,0.166253102,1
679,BC,3,A,77,0.168831169,1
667,WD,3,B,64,0.171875,1
24,EC,3,B,282,0.173758865,1
757,AR,6,A,23,0.173913043,1
559,EC,6,A,23,0.173913043,1
247,EC,6,B,342,0.175438596,1
568,ER,3,B,231,0.177489177,1
568,ER,3,B,231,0.177489177,1
650,BC,3,B,189,0.17989418,1
444,ER,6,A,305,0.183606557,1
444,ER,6,A,305,0.183606557,1
388,MC,6,A,369,0.184281843,1
47,ER,3,B,135,0.185185185,1
476,DC,6,B,321,0.186915888,1
476,DC,6,B,321,0.186915888,1
594,MC,6,B,454,0.18722467,1
594,MC,6,B,454,0.18722467,1
594,MC,6,B,454,0.18722467,1
695,AR,6,B,16,0.1875,1
457,ER,3,A,280,0.189285714,1
457,ER,3,A,280,0.189285714,1
28,EC,3,B,168,0.19047619,1
592,MC,3,B,267,0.191011236,1
592,MC,3,B,267,0.191011236,1
560,EC,3,A,83,0.192771084,1
560,EC,3,A,83,0.192771084,1
779,BC,6,A,186,0.198924731,1
779,BC,6,A,186,0.198924731,1
244,ER,3,A,149,0.201342282,1
244,ER,3,A,149,0.201342282,1
23,EC,3,B,401,0.201995012,1
85,EC,3,A,79,0.202531646,1
381,MC,6,A,237,0.202531646,1
410,GP,6,A,143,0.202797203,1
27,EC,3,B,281,0.202846975,1
551,EC,6,A,172,0.203488372,1
551,EC,6,A,172,0.203488372,1
549,EC,3,A,48,0.208333333,1
549,EC,3,A,48,0.208333333,1
485,ER,3,A,269,0.211895911,1
338,MC,3,B,132,0.212121212,1
338,MC,3,B,132,0.212121212,1
450,EC,3,B,98,0.214285714,1
450,EC,3,B,98,0.214285714,1
81,ER,3,B,204,0.215686275,1
691,AR,6,A,23,0.217391304,1
691,AR,6,A,23,0.217391304,1
453,EC,3,B,170,0.217647059,1
453,EC,3,B,170,0.217647059,1
405,AR,3,A,169,0.218934911,1
503,GP,3,B,324,0.219135802,1
503,GP,3,B,324,0.219135802,1
435,ER,3,B,162,0.222222222,1
435,ER,3,B,162,0.222222222,1
766,EC,3,A,39,0.230769231,1
766,EC,3,A,39,0.230769231,1
454,EC,3,B,166,0.234939759,1
454,EC,3,B,166,0.234939759,1
526,AR,3,B,152,0.236842105,1
409,GP,6,A,67,0.23880597,1
96,EC,3,A,29,0.24137931,1
441,EC,3,B,145,0.24137931,1
441,EC,3,B,145,0.24137931,1
78,ER,3,B,70,0.242857143,1
771,BC,6,A,185,0.243243243,1
771,BC,6,A,185,0.243243243,1
434,ER,3,B,77,0.246753247,1
434,ER,3,B,77,0.246753247,1
686,AR,3,A,8,0.25,1
544,EC,3,A,68,0.25,1
544,EC,3,A,68,0.25,1
458,ER,3,A,363,0.250688705,1
649,BC,3,B,214,0.252336449,1
657,WD,3,A,158,0.253164557,1
447,EC,3,B,139,0.258992806,1
447,EC,3,B,139,0.258992806,1
786,DC,6,A,135,0.259259259,1
574,ER,3,B,214,0.261682243,1
574,ER,3,B,214,0.261682243,1
152,ER,3,A,38,0.263157895,1
634,AR,6,A,196,0.265306122,1
634,AR,6,A,196,0.265306122,1
634,AR,6,A,196,0.265306122,1
509,ER,3,A,74,0.27027027,1
148,ER,3,A,69,0.275362319,1
417,ER,3,A,181,0.276243094,1
497,ER,6,A,267,0.277153558,1
497,ER,6,A,267,0.277153558,1
416,ER,6,A,203,0.280788177,1
392,MC,3,A,102,0.294117647,1
392,MC,3,A,102,0.294117647,1
770,BC,6,A,180,0.294444444,1
770,BC,6,A,180,0.294444444,1
591,MC,3,B,98,0.295918367,1
591,MC,3,B,98,0.295918367,1
427,ER,3,B,250,0.296,1
427,ER,3,B,250,0.296,1
141,ER,6,B,57,0.298245614,1
90,EC,6,B,30,0.3,1
732,MC,6,B,33,0.303030303,1
564,EC,3,A,168,0.303571429,1
564,EC,3,A,168,0.303571429,1
635,AR,3,A,124,0.306451613,1
635,AR,3,A,124,0.306451613,1
689,AR,6,A,58,0.310344828,1
689,AR,6,A,58,0.310344828,1
525,AR,3,B,16,0.3125,1
525,AR,3,B,16,0.3125,1
366,GP,3,A,79,0.316455696,1
248,EC,6,B,301,0.318936877,1
393,MC,3,A,25,0.32,1
393,MC,3,A,25,0.32,1
768,BC,6,A,225,0.32,1
768,BC,6,A,225,0.32,1
577,ER,6,B,69,0.347826087,1
577,ER,6,B,69,0.347826087,1
373,MC,3,A,86,0.360465116,1
512,ER,3,B,73,0.369863014,1
385,MC,3,A,24,0.375,1
565,EC,3,A,179,0.418994413,1
565,EC,3,A,179,0.418994413,1
364,MC,3,A,21,0.428571429,1
6,EC,6,B,118,0.466101695,1
674,BC,3,A,15,0.466666667,1
636,AR,3,A,21,0.476190476,1
636,AR,3,A,21,0.476190476,1
550,EC,3,A,81,0.481481481,1
550,EC,3,A,81,0.481481481,1
703,AR,6,B,29,0.517241379,1
748,AR,6,A,5,0.6,1
456,ER,3,A,31,0.612903226,1
456,ER,3,A,31,0.612903226,1
523,AR,3,B,8,0.625,1
523,AR,3,B,8,0.625,1
639,AR,3,A,14,0.642857143,1
731,MC,6,B,6,0.666666667,1
738,AR,6,A,13,0.692307692,1
738,AR,6,A,13,0.692307692,1
524,AR,3,B,13,0.769230769,1
524,AR,3,B,13,0.769230769,1
764,EC,6,A,6,0.833333333,1
764,EC,6,A,6,0.833333333,1
688,AR,6,A,6,0.833333333,1
688,AR,6,A,6,0.833333333,1
753,AR,6,A,14,0.928571429,1
622,DC,3,A,17,0.941176471,1
643,AR,6,B,5,1,1
675,BC,6,A,2,1,1
26,EC,6,B,10,1,1
760,EC,3,A,7,1,1
760,EC,3,A,7,1,1
696,AR,3,B,5,1,1
696,AR,3,B,5,1,1
625,AR,6,A,2,1,1
625,AR,6,A,2,1,1
762,AR,3,A,7,1,1
762,AR,3,A,7,1,1
748,AR,6,A,25,1,1
754,AR,3,A,67,1,1
754,AR,3,A,67,1,1
767,EC,3,A,34,1,1
767,EC,3,A,34,1,1
436,ER,3,A,13,1,1
436,ER,3,A,13,1,1